[16/Feb/2023:01:42:49 +0000] "GET /users?pageNumber=1&pageSize=10 HTTP/1.1" 200 31.974 ms 660 37.407 ms "PostmanRuntime/7.31.0"
[16/Feb/2023:01:45:06 +0000] "GET /users?pageNumber=1&pageSize=10 HTTP/1.1" 200 660 [31.561 ms : 37.625 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:06:06 +0000] "GET /users?pageNumber=1&pageSize=10 HTTP/1.1" 200 660 [28.128 ms : 34.941 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:23:31 +0000] "GET /cart HTTP/1.1" 204 - [344.158 ms : 349.438 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:23:51 +0000] "GET /items?pageNumber=1&pageSize=10 HTTP/1.1" 200 1841 [46.500 ms : 47.701 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:24:06 +0000] "POST /cart HTTP/1.1" 500 21 [15.538 ms : 18.387 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:24:32 +0000] "POST /cart HTTP/1.1" 500 21 [174.707 ms : 183.669 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:25:00 +0000] "POST /cart HTTP/1.1" 200 51 [55.108 ms : 61.546 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:25:27 +0000] "GET /cart HTTP/1.1" 200 199 [8.689 ms : 10.104 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:25:48 +0000] "POST /cart HTTP/1.1" 200 51 [22.518 ms : 23.073 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:25:51 +0000] "GET /cart HTTP/1.1" 200 202 [7.315 ms : 8.746 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:29:52 +0000] "POST /cart HTTP/1.1" 200 51 [56.184 ms : 63.426 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:29:54 +0000] "GET /cart HTTP/1.1" 200 284 [9.003 ms : 9.936 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:30:39 +0000] "DELETE /cart?id=63ed258e310b9070f5189769 HTTP/1.1" 200 51 [14.235 ms : 15.263 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:30:43 +0000] "GET /cart HTTP/1.1" 200 283 [6.678 ms : 7.988 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:30:55 +0000] "DELETE /cart?id=63ed256b310b9070f5189757 HTTP/1.1" 200 51 [14.572 ms : 15.610 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:30:59 +0000] "GET /cart HTTP/1.1" 200 282 [5.000 ms : 6.004 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:31:12 +0000] "DELETE /cart?id=63ed258e310b9070f5189769 HTTP/1.1" 200 51 [10.828 ms : 12.022 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:31:14 +0000] "GET /cart HTTP/1.1" 200 200 [5.439 ms : 6.114 ms] "PostmanRuntime/7.31.0"
[16/Feb/2023:02:32:47 +0000] "GET /order?pageNumber=1&pageSize=5 HTTP/1.1" 200 44 [32.456 ms : 39.561 ms] "PostmanRuntime/7.31.0"
